path	size	sha256	head16
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\022de870b1ecd151c845dc9ea8bfb50b	7692	53fcd856f8547d5db661e0d17f314ce159d1a2b92b67711f8d89c1e819d99b10	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\0264411f32d1f30bbf297f11aa6bbd3b	211719	b7a9c358239fec67d4d267b2003c1d7300275b79d819500539e12d8f132b7ea9	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\02694d11d9bb0a50403d7ae949f5c95f	631890	6a7d97f18a02be0d3b447fa4708eb39fa6ab0326e9b87553852c088e09e197d2	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\026ae94962f03fc28cdfadf8c9b341b2	31147	430fd819fa2827a68210c20795832c46429a77215c37e3cd7dbc35b66e1f9297	52425848020000005900000068747470
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\026f4c10b0e82b1049bc13e3586fa11e	216373	38553103e16ec4e3882bef3a5ec6c300dcb7602168c7ed8b9660351413c0f726	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\0277c5caf0778a087a007491ff3216d1	269127	9802b2c9a4396f21051c02186b40e2366ff74c6e9349b0ed591b3d9c666f30aa	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\027aadb83e632c7d92299b5f3a117e7c	248762	82d8c7ba9355554a0260d2bfa0e56d9a9263b20d1c1281fbb3d5dd3e2124732f	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\027f69d7c0f11ef16e5d1bb689e2194b	8334	49b59bd34f0121ef5c700b35bbddf4ef1bcffc55436098efe7cec3a7aaaa94d5	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\028162e08ebea604392a1abb6efe661c	17454	42f1963b27720f31e517e83b48195fe183c4f63a647e4dcb3c8b2cd9bee82e00	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\028d697bd57180d5957a677ec957a64d	197258	ae2f73b75b71be9b1945727d317b4c799a0fbdff4bee2d50c4d41fe1b67c190d	52425848020000000000000000c80000
